cover_id,member_name,top_1_choice,top_2_choice,top_3_choice,assigned_role,total_covers,total_got_1,total_got_2,total_got_3,total_got_none

#maniac - missing
#guerrilla - missing
#dice - missing
#case185 - missing
#cheers - missing
#antifragile - missing

#halazia
1,jorryn,yunho,san,seonghwa,yunho,0,0,0,0,0
1,kelvin,jongho,wooyoung,san,jongho,0,0,0,0,0
1,diana,hongjoong,san,mingi,hongjoong,0,0,0,0,0
1,jess,mingi,san,wooyoung,mingi,0,0,0,0,0
1,sydney,jongho,seonghwa,san,seonghwa,0,0,0,0,0
1,sean,wooyoung,yeosang,san,wooyoung,0,0,0,0,0
1,eldora,san,yeosang,seonghwa,yeosang,0,0,0,0,0
1,thy,san,seonghwa,hongjoong,san,0,0,0,0,0

#sweetjuice
2,thy,goeun,dosie,yuki,chaein,1,1,0,0,0
2,sean,dosie,yuki,goeun,dosie,1,1,0,0,0
2,diana,swan,goeun,chaein,swan,1,1,0,0,0
2,eldora,goeun,chaein,dosie,goeun,1,0,1,0,0
2,ivy,,,,irae,0,0,0,0,0
2,jess,,,,yuki,1,1,0,0,0

#samescent - missing

#setmefree
3,kelly,jihyo,nayeon,sana,jeongyeon,0,0,0,0,0
3,jaimee,sana,jihyo,nayeon,sana,0,0,0,0,0
3,sydney,dahyun,tzuyu,chaeyoung,tzuyu,1,0,1,0,0
3,eldora,sana,nayeon,momo,mina,2,1,1,0,0
3,miranda,momo,jihyo,jeongyeon,momo,0,0,0,0,0
3,eilene,nayeon,mina,tzuyu,nayeon,0,0,0,0,0
3,sean,jihyo,nayeon,jeongyeon,jihyo,2,2,0,0,0
3,vivian,jihyo,dahyun,mina,dahyun,0,0,0,0,0
3,zoe,tzuyu,mina,chaeyoung,chaeyoung,0,0,0,0,0

#openingsequence - missing

#unforgiven
4,thy,eunchae,kazuha,sakura,sakura,2,1,0,0,1
4,sean,yunjin,kazuha,chaewon,yunjin,3,3,0,0,0
4,eldora,chaewon,kazuha,yunjin,chaewon,3,1,1,0,1
4,zoe,yunjin,kazuha,eunchae,eunchae,1,0,0,1,0
4,ivy,kazuha,sakura,chaewon,kazuha,1,0,0,0,1

#dbtw
5,avery,soobin,taehyun,,soobin,0,0,0,0,0
5,trusha,hueningkai,,,beomgyu,0,0,0,0,0
5,diana,hueningkai,beomgyu,taehyun,taehyun,2,2,0,0,0
5,jess,yeonjun,soobin,,yeonjun,2,1,0,0,1
5,sydney,yeonjun,hueningkai,,hueningkai,2,0,2,0,0

#candy - missing

#super - ignore

#sclass
6,avery,felix,hyunjin,seungmin,felix,1,1,0,0,0
6,kelvin,leeknow,seungmin,bangchan,leeknow,1,1,0,0,0
6,jess,hyunjin,felix,seungmin,hyunjin,3,2,0,0,1
6,kelly,hyunjin,changbin,han,changbin,1,0,0,0,1
6,sean,leeknow,seungmin,felix,seungmin,4,4,0,0,0
6,sydney,han,in,bangchan,in,3,0,3,0,0
6,zoe,seungmin,bangchan,changbin,bangchan,2,0,0,2,0
6,eldora,felix,han,seungmin,han,4,2,1,0,1

#donottouch - ignore
#peekaboo - missing
#takitaki - ignore

#iam
7,trusha,liz,rei,yujin,rei,1,0,0,0,1
7,diana,yujin,liz,wonyoung,yujin,3,2,0,1,0
7,kelly,,,,leeseo,2,0,1,0,1
7,eldora,liz,gaeul,yunjin,liz,5,2,2,0,1
7,eilene,wonyoung,liz,leeseo,wonyoung,1,1,0,0,0
7,zoe,gaeul,leeseo,liz,gaeul,3,0,1,2,0

#shhh
8,jaimee,belle,haneul,,belle,1,1,0,0,0
8,thy,julie,natty,,julie,3,1,0,1,1
8,ivy,natty,belle,,natty,2,1,0,0,1
8,kelly,haneul,julie,,haneul,3,0,1,0,2

#cake
9,eldora,yeji,ryujin,yuna,lia,6,3,2,0,1
9,jess,ryujin,yuna,yeji,ryujin,4,3,0,0,1
9,eilene,yuna,chaeryeong,ryujin,yuna,2,2,0,0,0
9,avery,ryujin,yeji,yuna,yeji,2,2,0,0,0
9,diana,chaeryeong,yuna,yeji,chaeryeong,4,3,0,1,0

#bailaconmigo
10,jess,leedo,seoho,hwanwoong,seoho,5,4,0,0,1
10,eldora,hwanwoong,leedo,seoho,hwanwoong,7,3,2,0,2
10,sydney,hwanwoong,seoho,keonhee,keonhee,4,0,4,0,0
10,jorryn,seoho,xion,,xion,1,1,0,0,0
10,kelly,leedo,hwanwoong,seoho,leedo,4,1,1,0,2

#chillkill - missing

#la4
11,jess,hyunjin,felix,leeknow,hyunjin,6,4,1,0,1
11,kelly,leeknow,changbin,felix,changbin,5,2,1,0,2
11,sydney,han,felix,in,han,5,0,4,1,0
11,eldora,felix,han,leeknow,bangchan,8,4,2,0,2
11,diana,felix,han,changbin,felix,5,4,0,1,0
11,sean,leeknow,han,changbin,leeknow,5,4,1,0,0
11,jaimee,seungmin,han,in,in,2,2,0,0,0
11,eilene,han,seungmin,leeknow,seungmin,3,3,0,0,0

#crazyform
12,trusha,wooyoung,hongjoong,san,hongjoong,2,0,1,0,1
12,thy,san,hongjoong,yeosang,mingi,4,2,0,1,1
12,sydney,hongjoong,jongho,seonghwa,jongho,6,1,4,1,0
12,zoe,yeosang,seonghwa,yunho,yeosang,4,1,1,2,0
12,eldora,san,wooyoung,seonghwa,san,9,4,2,0,3
12,jorryn,yunho,seonghwa,mingi,yunho,2,1,1,0,0
12,miranda,seonghwa,hongjoong,wooyoung,seonghwa,1,1,0,0,0
12,jaimee,wooyoung,san,seonghwa,wooyoung,3,2,0,1,0
12,jess,,,,bbt1,7,5,1,0,1
12,kelly,,,,bbt2,6,2,2,0,2

#easy
13,eilene,seola,bona,,seola,4,3,1,0,0
13,thy,eunseo,exy,,bona,5,2,0,1,2
13,eldora,,,,exy,10,5,2,0,3
